initial,12.08961571,11.24395836,12.93527305,,location,salinity,density,gamma,gamma_lwr,gamma_upr,alpha,alpha_lwr,alpha_upr,,,
gamma.(Intercept),0.432475384,0.368802597,0.496148171,,coastal,0,2,0.423143918,0.379380882,0.466906954,0.251175161,0.208092734,0.294257587,,,
gamma.LocationInland,0.018417287,0.000422992,0.036411582,,coastal,4,2,0.473131779,0.388519085,0.557744474,0.291309622,0.215285433,0.36733381,,,
gamma.Sal.4,0.040656395,0.019716488,0.061596303,,coastal,0,4,0.287361844,0.180141591,0.394582097,0.160734972,0.062958482,0.258511461,,,
gamma.Density.4,-0.14511354,-0.188661005,-0.101566074,,coastal,4,4,0.328018239,0.19985808,0.4561784,0.237420948,0.170185027,0.30465687,,,
gamma.Density.8,-0.273572958,-0.320737367,-0.226408549,,coastal,0,8,0.158902426,0.048065229,0.269739622,0.038635652,-0.055929284,0.133200588,,,
alpha.(Intercept),0.247074231,0.196468397,0.297680065,,coastal,4,8,0.199558821,0.067781718,0.331335925,0.26608217,0.199042833,0.333121507,,,
alpha.LocationInland,0.026545261,0.003786951,0.049303572,,inland,0,2,0.450892671,0.369225588,0.532559753,0.273619492,0.200255348,0.346983637,,,
alpha.Sal.4,0.044235391,0.018817036,0.069653745,,inland,4,2,0.491549066,0.388942077,0.594156056,0.317854883,0.219072384,0.416637382,,,
alpha.Density.4,-0.086339259,-0.133509915,-0.039168604,,inland,0,4,0.305779131,0.180564583,0.430993679,0.187280233,0.066745433,0.307815033,,,
alpha.Density.8,-0.208438579,-0.252397681,-0.164479477,,inland,4,4,0.346435526,0.200281072,0.492589982,0.263966209,0.173971978,0.353960442,,,
alpha.Sal.4:Density.4,-0.009653283,-0.02628337,0.006976805,,inland,0,8,0.177319713,0.048488221,0.306151204,0.065180913,-0.052142333,0.18250416,,,
alpha.Sal.4:Density.8,0.019007939,0.002574436,0.035441442,,inland,4,8,0.217976108,0.068204709,0.367747507,0.292627431,0.202829784,0.382425079,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
