Location,Density,Sal,Replicate,Hatch_date,Julian_hatch,Start_Date,Julian_start,Date_MM,Julian_MM,MM_tail,MM_total,Mass_MM,Final_length,Final_mass,Final_date,Julian_final,Time_MM,Dead,Dead_date,,,,,,,
Coastal,2,0,1,7/5/17,42921,7/10/17,42926,8/12/17,42959,,,,20.35,0.259,8/14/17,42961,40,1,,might not be final,,,,,,
Coastal,2,0,1,7/5/17,42921,7/10/17,42926,8/26/17,42973,34.56,51.95,0.798,18.03,0.502,8/30/17,42977,56,1,,,,,,,,
Coastal,2,0,2,7/5/17,42921,7/10/17,42926,8/14/17,42961,25.87,37.99,0.416,16.69,0.273,8/17/17,42964,43,1,,,,,,,,
Coastal,2,0,2,7/5/17,42921,7/10/17,42926,8/31/17,42978,32.64,49.18,0.941,19.85,0.614,9/4/17,42982,61,1,,,,,,,,
Coastal,2,0,3,7/5/17,42921,7/10/17,42926,8/15/17,42962,25.54,38.62,0.384,14.24,0.225,8/18/17,42965,44,1,,,,,,,,
Coastal,2,0,3,7/5/17,42921,7/10/17,42926,8/24/17,42971,26.04,44.39,0.692,17.25,0.411,8/27/17,42974,53,1,,,,,,,,
Coastal,2,0,4,7/5/17,42921,7/10/17,42926,8/11/17,42958,22.98,40.03,0.453,16.89,0.266,8/14/17,42961,40,1,,,,,,,,
Coastal,2,0,4,7/5/17,42921,7/10/17,42926,8/31/17,42978,26.43,45.81,0.967,20.53,0.586,9/3/17,42981,60,1,,,,,,,,
Coastal,2,0,5,7/5/17,42921,7/10/17,42926,9/2/17,42980,34.15,52.89,0.871,19.98,0.572,9/6/17,42984,63,1,,,,,,,,
Coastal,2,0,5,7/5/17,42921,7/10/17,42926,8/15/17,42962,27.93,40.21,0.404,16.28,0.25,8/18/17,42965,44,1,,,,,,,,
Coastal,2,0,6,7/5/17,42921,7/10/17,42926,8/11/17,42958,22.9,37.34,0.404,16.65,0.259,8/14/17,42961,40,1,,,,,,,,
Coastal,2,0,6,7/5/17,42921,7/10/17,42926,8/31/17,42978,31.75,50.62,0.902,20.22,0.574,9/4/17,42982,61,1,,,,,,,,
Inland,2,0,1,7/6/17,42922,7/10/17,42926,8/20/17,42967,29.2,42.53,0.501,16.72,0.315,8/23/17,42970,48,1,,,,,,,,
Inland,2,0,1,7/6/17,42922,7/10/17,42926,8/20/17,42967,26.15,39.33,0.445,15.97,0.26,8/23/17,42970,48,1,,,,,,,,
Inland,2,0,2,7/6/17,42922,7/10/17,42926,8/18/17,42965,30.23,44.45,0.66,16.81,0.391,8/22/17,42969,47,1,,,,,,,,
Inland,2,0,2,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,,dead,,,,,,
Inland,2,0,3,7/6/17,42922,7/10/17,42926,8/28/17,42975,34.44,51.06,0.948,19.4,0.568,9/1/17,42979,57,1,,,,,,,,
Inland,2,0,3,7/6/17,42922,7/10/17,42926,8/14/17,42961,28.72,36.23,0.518,16.65,0.361,8/17/17,42964,42,1,,,,,,,,
Inland,2,0,4,7/6/17,42922,7/10/17,42926,8/19/17,42966,26.07,39.67,0.534,16.87,0.302,8/22/17,42969,47,1,,,,,,,,
Inland,2,0,4,7/6/17,42922,7/10/17,42926,9/2/17,42980,30.39,49.9,0.83,18.66,0.529,9/5/17,42983,61,1,,,20.23,0.559,9/4/17,,,
Inland,2,0,5,7/6/17,42922,7/10/17,42926,8/21/17,42968,26.87,43.92,0.539,17.18,0.343,8/21/17,42968,46,1,,,,,,,,
Inland,2,0,5,7/6/17,42922,7/10/17,42926,8/26/17,42973,29.32,41.92,0.559,16.58,0.341,8/29/17,42976,54,1,,,,,,,,
Inland,2,0,6,7/6/17,42922,7/10/17,42926,8/14/17,42961,23.67,35.56,0.335,14.59,0.223,8/17/17,42964,42,1,,,,,,,,
Inland,2,0,6,7/6/17,42922,7/10/17,42926,8/18/17,42965,24.58,40.3,0.455,,,,,,1,8/18/17,dead,,,,,,
Coastal,2,4,1,7/5/17,42921,7/10/17,42926,8/11/17,42958,41.11,54.09,0.729,17.38,0.409,8/14/17,42961,40,1,,,,,,,,
Coastal,2,4,1,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,,,,,,,,
Coastal,2,4,2,7/5/17,42921,7/10/17,42926,8/17/17,42964,25.68,40.32,0.37,15.43,0.252,8/20/17,42967,46,1,,,,,,,,
Coastal,2,4,2,7/5/17,42921,7/10/17,42926,8/19/17,42966,28.07,43.23,0.524,15.03,0.317,8/22/17,42969,48,1,,,,,,,,
Coastal,2,4,3,7/5/17,42921,7/10/17,42926,8/14/17,42961,24.98,36.57,0.402,16.34,0.249,8/17/17,42964,43,1,,,,,,,,
Coastal,2,4,3,7/5/17,42921,7/10/17,42926,8/24/17,42971,27.03,43.76,0.588,16.72,0.369,8/27/17,42974,53,1,,,,,,,,
Coastal,2,4,4,7/5/17,42921,7/10/17,42926,8/15/17,42962,24.01,37.67,0.358,15.69,0.232,8/18/17,42965,44,1,,,,,,,,
Coastal,2,4,4,7/5/17,42921,7/10/17,42926,8/31/17,42978,32.94,52.62,0.916,20.28,0.606,9/3/17,42981,60,1,,,,,,,,
Coastal,2,4,5,7/5/17,42921,7/10/17,42926,9/4/17,42982,37.09,54.38,0.962,18.6,0.599,9/8/17,42986,65,1,,,9/4/17,35.01,51.63,0.887,,
Coastal,2,4,5,7/5/17,42921,7/10/17,42926,8/15/17,42962,27.41,40.41,0.4,15.09,0.223,8/18/17,42965,44,1,,,,,,,,
Coastal,2,4,6,7/5/17,42921,7/10/17,42926,8/28/17,42975,31.73,47.04,0.788,18.4,0.452,9/1/17,42979,58,1,,,,,,,,
Coastal,2,4,6,7/5/17,42921,7/10/17,42926,8/29/17,42976,27.19,42.1,0.5,16,0.32,9/2/17,42980,59,1,,,,,,,,
Inland,2,4,1,7/6/17,42922,7/10/17,42926,8/11/17,42958,22.79,38.59,0.419,17,0.292,8/14/17,42961,39,1,,may not be final,,,,,,
